Card number,Rarity,Parallel,Cost,Sold,Condition,Thumbnail url
op17-063,sr,,0.0,,
op07-015,sr,,0.0,,
st16-004,sr,,0.0,,
op13-007,sr,,0.0,,
op05-074,sr,,0.0,,
op10-112,sr,,0.0,,
op10-046,sr,,0.0,,
op08-023,sr,,0.0,,
op07-109,sr,,0.0,,
op05-074,sr,,0.0,,
op13-028,sr,,0.0,,
op05-091,sr,,0.0,,
op13-064,sr,,0.0,,
p-088,p,,0.0,,
p-069,p,,0.0,,
op17-54,r,,0.0,,
op17-109,r,,0.0,,
op13-113,r,,0.0,,
op13-012,r,,0.0,,
op13-004,l,,0.0,,
op13-004,l,,0.0,,
op13-079,l,,0.0,,
op13-104,r,,0.0,,
op13-104,r,,0.0,,
op17-027,r,,0.0,,
op14-001,l,,0.0,,
op13-001,l,,0.0,,
op13-003,l,,0.0,,
op13-004,l,,0.0,,
op13-004,l,,0.0,,
op17-029,r,,0.0,,
op13-072,r,,0.0,,
op13-043,r,,0.0,,
op13-084,r,,0.0,,
op13-016,r,,0.0,,
op14-080,l,,0.0,,
op14-020,l,,0.0,,
op14-041,l,,0.0,,
op13-001,l,,0.0,,
op14-080,l,,0.0,,
op03-121,c,jolly roger,0.0,,
op13-001,l,,0.0,,
op14-001,l,,0.0,,
op13-003,l,,0.0,,
op17-079,l,,0.0,,
st17-002,sr,,0.0,,
prb02-017,sr,,0.0,,
op05-091,sr,,0.0,,
eb01-046,sr,,0.0,,
op09-093,sr,,0.0,,
op10-112,sr,,0.0,,
eb01-012,sr,,0.0,,
op09-004,sr,,0.0,,
op12-056,sr,,0.0,,
op01-039,uc,,0.0,,
op06-078,uc,,0.0,,
op06-064,c,jolly roger,0.0,,
op14-014,r,,0.0,,
op14-014,r,,0.0,,
op14-014,r,,0.0,,
op14-014,r,,0.0,,
op14-014,r,,0.0,,
op14-042,r,,0.0,,
op13-043,r,,0.0,,
op13-084,r,,0.0,,
op13-072,r,,0.0,,
op09-002,r,,0.0,,
op17-058,l,,0.0,,
op13-003,l,,0.0,,
op09-042,l,,0.0,,
op03-003,r,,0.0,,
op04-100,r,,0.0,,
op13-042,sr,,0.0,,
op13-096,r,,0.0,,
op05-076,r,,0.0,,
op13-076,r,,0.0,,
op09-004,sr,,0.0,,
op09-093,sr,,0.0,,
prb02-005,sr,,0.0,,
op17-049,r,,0.0,,
op13-083,r,,0.0,,
op13-076,r,,0.0,,
op05-076,r,,0.0,,
op09-078,r,,0.0,,
op06-065,r,jolly roger,0.0,,
op17-019,r,,0.0,,
